Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10,FFR_Level,CPI_YoY,UNRATE_Level,YC_Slope_10Y3M,PMI_Level
2020-02-03,73.49249,75.712,72.99015,74.545494,74.545494,173788400,74.75078,-0.20528412,199588400,-25800000,76.51479,76.52879,-0.014006043,75.84386,76.434845,76.678055,-0.2432045,76.08773,75.607185,75.47157,0.13560943,75.95375,47.498104,348296800,-0.09385475,-3.1594217,3.7756703,0.2067823,0.36464566,-0.15786335,29.446785,36.756203,-139.73157,1.7438983,75.607185,79.07046,72.14391,-2.432045,1.3,2.1,3.8,0.3,50.0
2020-02-04,76.15154,77.197296,75.745804,77.0065,77.0065,136616400,74.545494,2.4610062,173788400,-37172000,76.57082,76.51479,0.056030273,76.23146,76.489914,76.434845,0.055062868,76.25682,75.83723,75.607185,0.2300415,76.06648,53.015854,484913200,0.36513057,0.7201915,6.35424,0.25033978,0.34161454,-0.091274746,81.280365,38.98812,11.700716,1.8401579,75.83723,79.003586,72.67086,0.55062866,1.3,2.1,3.8,0.3,50.0
2020-02-05,78.13437,78.43385,77.03066,77.634445,77.634445,118826800,77.0065,0.62794495,136616400,-17789600,76.43122,76.57082,-0.13959655,76.69916,76.58048,76.489914,0.09056778,76.5098,76.11569,75.83723,0.2784645,76.232414,52.306614,603740000,-0.8910521,1.1803627,7.728132,0.32381415,0.33803332,-0.014219156,85.314995,65.34738,72.42012,1.8394682,76.11569,78.833015,73.39836,0.9056778,1.3,2.1,3.8,0.3,50.0
2020-02-06,77.90494,78.544945,77.34704,78.54253,78.54253,105425600,77.634445,0.90808105,118826800,-13401200,76.49595,76.43122,0.06472473,77.31365,76.72491,76.58048,0.1444252,76.88241,76.38159,76.11569,0.26590577,76.47433,57.13336,709165600,0.413741,1.8732611,7.2627625,0.4394858,0.3584201,0.08106571,99.913635,88.836334,83.4298,1.8498194,76.38159,78.944046,73.81914,1.444252,1.3,2.1,3.8,0.3,50.0
2020-02-07,78.041405,78.29075,76.98349,77.47492,77.47492,117684000,78.54253,-1.0676041,105425600,12258400,77.04078,76.49595,0.5448288,77.36741,76.78479,76.72491,0.059882354,76.99085,76.51635,76.38159,0.13475838,76.578125,52.419323,591481600,3.644302,0.77894634,3.6041408,0.45006418,0.37681842,0.073245764,31.472866,72.23383,47.620026,1.8966609,76.51635,79.00657,74.02614,0.59882355,1.3,2.1,3.8,0.3,50.0
2020-02-10,76.05872,77.8429,75.97884,77.8429,77.8429,109348800,77.47492,0.36798096,117684000,-8335200,77.70026,77.04078,0.6594818,77.52591,77.10753,76.78479,0.32273787,77.14662,76.66106,76.51635,0.14470406,76.70822,52.414616,700830400,4.4233513,4.325345,3.8614097,0.47886285,0.3972892,0.08157369,72.64175,68.009415,15.377547,1.9777105,76.66106,79.10364,74.218475,3.2273788,1.3,2.1,3.8,0.3,50.0
2020-02-11,78.33918,78.411804,77.15538,77.37325,77.37325,94323200,77.8429,-0.46965027,109348800,-15025600,77.77361,77.70026,0.07335053,77.47503,77.17222,77.10753,0.064690396,77.18801,76.70222,76.66106,0.041160204,76.77611,51.586662,606507200,0.4762619,0.8431315,1.0753802,0.4624157,0.41034606,0.052069653,57.313263,53.80929,37.593246,2.0084586,76.70222,79.16458,74.23985,0.646904,1.3,2.1,3.8,0.3,50.0
2020-02-12,77.823524,79.21552,77.823524,79.210686,79.210686,113730400,77.37325,1.8374329,94323200,19407200,78.08886,77.77361,0.3152481,78.05359,77.26004,77.17222,0.087825775,77.557106,76.88693,76.70222,0.18471603,77.02295,65.07249,720237600,2.0303366,1.121193,4.8920794,0.57558674,0.44345823,0.13212849,99.850494,76.60184,112.030174,2.0725982,76.88693,79.52289,74.25098,0.87825775,1.3,2.1,3.8,0.3,50.0
2020-02-13,78.481995,78.973434,78.27865,78.646614,78.646614,94747600,79.210686,-0.56407166,113730400,-18982800,78.10967,78.08886,0.020817567,78.25127,77.30281,77.26004,0.04277115,77.75579,77.05962,76.88693,0.17269287,77.18657,57.00991,625490000,0.13252416,0.5468135,4.593338,0.6165308,0.47812638,0.13840438,72.384964,76.51624,92.79715,2.0389445,77.05962,79.680756,74.4385,0.4277115,1.3,2.1,3.8,0.3,50.0
2020-02-14,78.615166,78.91536,78.15762,78.66601,78.66601,80113600,78.646614,0.01939392,94747600,-14634000,78.34789,78.10967,0.23821716,78.38951,77.694336,77.30281,0.39152297,77.921684,77.186195,77.05962,0.12656823,77.33483,51.37728,705603600,1.5373824,5.237711,3.3248522,0.64274716,0.51109135,0.1316558,60.523132,77.5862,80.99497,1.8613871,77.186195,79.86313,74.509254,3.9152298,1.3,2.1,3.8,0.3,50.0
2020-02-18,76.34437,77.40713,76.1628,77.22556,77.22556,152531200,78.66601,-1.440445,80113600,72417600,78.22443,78.34789,-0.12346802,78.001526,77.96234,77.694336,0.2680069,77.79487,77.19859,77.186195,0.012401199,77.32394,46.303722,553072400,-0.79305893,3.5952125,0.32220307,0.5504258,0.518966,0.03145977,37.812237,56.906776,-95.60158,1.8771665,77.19859,79.87376,74.52343,2.680069,1.3,2.1,3.8,0.3,50.0
2020-02-19,77.46766,78.574,77.46766,78.34401,78.34401,93984000,77.22556,1.1184464,152531200,-58547200,78.41858,78.22443,0.19415131,78.11569,78.09609,77.96234,0.13375092,77.894875,77.293,77.19859,0.09440689,77.4252,66.20421,647056400,1.2546409,1.7368783,2.4695785,0.5542528,0.526029,0.028223818,79.24303,59.1928,25.445234,1.798212,77.293,79.990974,74.59503,1.3375092,1.3,2.1,3.8,0.3,50.0
2020-02-20,78.10435,78.59336,77.034325,77.54028,77.54028,100566000,78.34401,-0.8037262,93984000,6582000,78.084496,78.41858,-0.33408052,77.92389,78.08668,78.09609,-0.009416198,77.830315,77.33358,77.293,0.04057579,77.43658,62.813812,546490400,-2.1088095,-0.12128893,1.0576422,0.49132428,0.5190836,-0.027759366,56.673473,57.90958,-27.48827,1.8131381,77.33358,80.0202,74.64695,-0.09416199,1.3,2.1,3.8,0.3,50.0
2020-02-21,77.133575,77.57659,75.16783,75.78515,75.78515,129554000,77.54028,-1.7551346,100566000,28988000,77.5122,78.084496,-0.5722931,77.210976,77.810936,78.08668,-0.27573776,77.45806,77.26792,77.33358,-0.06565628,77.27389,44.438244,416936400,-3.6383836,-3.5106812,-1.7031841,0.30576405,0.47639808,-0.17063403,18.02108,51.312527,-165.60541,1.7164233,77.26792,80.041534,74.49431,-2.7573776,1.3,2.1,3.8,0.3,50.0
2020-02-24,71.96261,73.63785,70.018654,72.185326,72.185326,222195200,75.78515,-3.599823,129554000,92641200,76.216064,77.5122,-1.2961365,75.53576,77.28198,77.810936,-0.52895963,76.49853,77.03339,77.26792,-0.23453864,76.774216,30.471611,194741200,-8.238225,-6.827495,-6.1017313,-0.11230358,0.35860997,-0.47091356,25.268148,33.3209,-269.44824,1.9338976,77.03339,80.62051,73.44626,-5.2895966,1.3,2.1,3.8,0.3,50.0
2020-02-25,72.85591,73.2384,69.26819,69.74025,69.74025,230673600,72.185326,-2.445076,222195200,8478400,74.719,76.216064,-1.4970627,73.60392,76.47171,77.28198,-0.81026536,75.26885,76.78962,77.03339,-0.24376373,76.085556,21.585,-35932400,-9.692792,-10.408981,-6.533861,-0.62190205,0.1624439,-0.7843459,5.6817627,16.323664,-179.87244,2.02807,76.78962,81.54192,72.037315,-8.1026535,1.3,2.1,3.8,0.3,50.0
2020-02-26,69.36502,72.1127,69.35776,70.84659,70.84659,198054800,69.74025,1.1063385,230673600,-32618800,73.21952,74.719,-1.4994843,72.68481,75.819046,76.47171,-0.65266645,74.464325,76.49563,76.78962,-0.29398805,75.574,28.656172,162122400,-9.569872,-8.435298,-7.6632876,-0.9298791,-0.05607743,-0.8738017,36.121876,22.357262,-120.218544,2.1228979,76.49563,81.9413,71.04996,-6.5266647,1.3,2.1,3.8,0.3,50.0
2020-02-27,68.0505,69.23672,66.07991,66.21548,66.21548,320605600,70.84659,-4.631111,198054800,122550800,70.95456,73.21952,-2.2649612,70.528366,74.51952,75.819046,-1.2995209,72.963806,75.889786,76.49563,-0.60584754,74.66238,20.62394,-158483200,-14.605062,-16.405878,-15.468627,-1.5114017,-0.34720272,-1.1641989,1.893804,14.565814,-138.34631,2.3778102,75.889786,82.93594,68.84363,-12.995209,1.3,2.1,3.8,0.3,50.0
2020-02-28,62.27917,67.3993,62.06371,66.17676,66.17676,426510000,66.21548,-0.038719177,320605600,105904400,69.03288,70.95456,-1.9216782,69.07783,73.27254,74.51952,-1.2469857,71.7293,75.287674,75.889786,-0.6021072,73.837585,21.083012,-584993200,-12.678461,-15.855554,-15.395441,-1.9520949,-0.6682345,-1.2838604,40.929947,26.315208,-129.98369,2.647564,75.287674,83.46334,67.112015,-12.469856,1.3,2.1,3.8,0.3,50.0
2020-03-02,68.33617,72.97454,67.23225,72.33785,72.33785,341397200,66.17676,6.1610947,426510000,-85112800,69.063385,69.03288,0.03050537,70.164505,72.639725,73.27254,-0.63281554,71.83998,75.16703,75.287674,-0.12064628,73.6921,35.490177,-243596000,0.21129897,-8.0443325,-3.2279606,-1.8039703,-0.8954119,-0.9085585,94.16462,45.66279,-30.644333,2.9999726,75.16703,83.44661,66.88745,-6.3281555,1.3,2.1,3.8,0.3,50.0
2020-03-03,73.514404,73.594284,69.18831,70.04046,70.04046,319475600,72.33785,-2.2973938,341397200,-21921600,69.12343,69.063385,0.060041808,70.12315,71.92122,72.639725,-0.71851045,71.51271,74.94178,75.16703,-0.22525176,73.33848,33.06988,-563071600,0.4304674,-9.3040495,-6.043337,-1.843391,-1.0850278,-0.7583631,69.17909,68.09122,-21.221813,3.2249403,74.94178,83.53185,66.3517,-7.1851044,1.3,2.1,3.8,0.3,50.0
2020-03-04,71.76412,73.449036,70.962814,73.28926,73.28926,219178400,70.04046,3.2488022,319475600,-100297200,69.61196,69.12343,0.48853454,71.17852,71.41574,71.92122,-0.50547487,71.83579,74.75592,74.94178,-0.18586197,73.333725,40.615223,-343893200,3.447834,-6.451991,-4.827176,-1.6033907,-1.1887093,-0.41468143,95.205536,86.18308,30.169333,3.3368194,74.75592,83.31871,66.19312,-5.0547485,1.3,2.1,3.8,0.3,50.0
2020-03-05,71.54139,72.517,70.54642,70.91197,70.91197,187572800,73.28926,-2.3772888,219178400,-31605600,70.55126,69.61196,0.939299,71.089676,70.75291,71.41574,-0.6628311,71.66779,74.41979,74.75592,-0.33612365,73.09992,39.329006,-531466000,7.0927453,-8.548216,-8.659137,-1.5803514,-1.267043,-0.31330833,39.121006,67.83521,20.104776,3.4661622,74.41979,83.03443,65.80515,-6.628311,1.3,2.1,3.8,0.3,50.0
2020-03-06,68.268394,70.403595,68.081985,69.97026,69.97026,226176800,70.91197,-0.9417114,187572800,38604000,71.30996,70.55126,0.75870055,70.71654,70.17142,70.75291,-0.5814888,71.35911,73.99118,74.41979,-0.42861328,72.798164,35.761944,-757642800,5.7323794,-7.6728597,-10.914171,-1.616981,-1.3370345,-0.27994663,35.182674,56.503075,-24.403696,3.6141803,73.99118,82.595146,65.387215,-5.814888,1.3,2.1,3.8,0.3,50.0
2020-03-09,63.850296,67.321815,63.66873,64.43615,64.43615,286744800,69.97026,-5.534111,226176800,60568000,69.72962,71.30996,-1.5803406,68.62308,69.3965,70.17142,-0.7749176,70.100235,73.33924,73.99118,-0.6519386,71.99287,30.806332,-1044387600,-10.92333,-10.735112,-16.829668,-2.0558212,-1.480798,-0.57502306,8.6730795,27.65892,-132.91388,3.8854887,73.33924,82.76815,63.910328,-7.749176,1.3,2.1,3.8,0.3,50.0
2020-03-10,67.09184,69.34325,65.21083,69.07695,69.07695,285290000,64.43615,4.6408005,286744800,-1454800,69.53692,69.72962,-0.19270173,68.77437,69.33017,69.3965,-0.066329956,69.91416,72.90094,73.33924,-0.43829766,71.71236,40.94032,-759097600,-1.3756458,-0.95110005,-11.261082,-2.0156734,-1.5877768,-0.4278965,80.301796,41.38585,-37.673428,4.1396794,72.90094,82.26311,63.53878,-0.66329956,1.3,2.1,3.8,0.3,50.0
2020-03-11,67.15238,68.07957,65.81364,66.67789,66.67789,255598800,69.07695,-2.399063,285290000,-29691200,68.214645,69.53692,-1.3222748,68.07554,68.9133,69.33017,-0.41687012,69.32571,72.36617,72.90094,-0.5347683,71.2285,42.312664,-1014696400,-9.020931,-5.8841243,-13.823079,-2.1477857,-1.6997817,-0.44800392,53.02929,47.33472,-54.915413,4.261413,72.36617,81.873436,62.858913,-4.168701,1.3,2.1,3.8,0.3,50.0
2020-03-12,61.959614,65.36335,60.037445,60.093124,60.093124,418474000,66.67789,-6.5847626,255598800,162875200,66.05087,68.214645,-2.1637695,65.414734,68.30107,68.9133,-0.61223525,67.64694,71.41029,72.36617,-0.9558781,70.15922,37.929382,-1433170400,-15.256729,-9.246105,-24.135078,-2.7398567,-1.9078013,-0.8320554,0.5983241,44.643135,-150.52231,4.563676,71.41029,81.82132,60.999275,-6.1223526,1.3,2.1,3.8,0.3,50.0
2020-03-13,64.12628,67.76484,61.235767,67.29277,67.29277,370732000,60.093124,7.199646,418474000,-47742000,65.51537,66.05087,-0.535498,66.04075,68.41267,68.30107,0.111601256,67.58254,70.842606,71.41029,-0.56769216,69.884186,46.141727,-1062438400,-3.8266118,1.6864117,-14.436532,-2.610159,-2.0482752,-0.5618836,90.21652,47.948044,-66.58614,4.699764,70.842606,80.821465,60.863743,1.1160126,1.3,2.1,3.8,0.3,50.0
2020-03-16,58.572815,62.719753,58.10075,58.63576,58.63576,322423600,67.29277,-8.657009,370732000,-48308400,64.3553,65.51537,-1.1600777,63.57242,67.04246,68.41267,-1.3702091,65.95579,69.841095,70.842606,-1.0015123,68.80567,42.432453,-1384862000,-9.001761,-18.9418,-25.46239,-3.1556683,-2.269757,-0.8859111,5.5360875,32.116978,-147.14041,5.0727496,69.841095,80.51062,59.171562,-13.702091,1.3,2.1,3.8,0.3,50.0
2020-03-17,59.91882,62.363888,57.71341,61.21398,61.21398,324056000,58.63576,2.5782204,322423600,1632400,62.782703,64.3553,-1.5725937,62.786274,66.15981,67.04246,-0.8826477,65.093605,69.04051,69.841095,-0.8005791,68.07824,45.284317,-1060806000,-11.382912,-12.601969,-20.733524,-3.3449616,-2.4848003,-0.8601612,34.8266,43.5264,-106.15684,5.208145,69.04051,79.77965,58.30138,-8.826477,1.3,2.1,3.8,0.3,50.0
2020-03-18,58.045063,60.521606,57.40353,59.715458,59.715458,300233600,61.21398,-1.4985237,324056000,-23822400,61.39022,62.782703,-1.3924859,61.76267,64.80243,66.15981,-1.3573803,64.11573,68.109085,69.04051,-0.9314276,67.27738,36.839973,-1361039600,-10.441886,-18.520863,-23.77789,-3.5725167,-2.7023456,-0.87017107,43.488132,27.950272,-104.27142,5.139843,68.109085,78.68078,57.53739,-13.573803,1.3,2.1,3.8,0.3,50.0
2020-03-19,59.889774,61.209145,58.7326,59.257927,59.257927,271857200,59.715458,-0.45753098,300233600,-28376400,61.22318,61.39022,-0.16703948,60.927753,63.637028,64.80243,-1.1654046,63.232475,67.19497,68.109085,-0.9141178,66.50981,38.30971,-1632896800,-1.3898386,-16.434525,-23.57788,-3.7458658,-2.9110513,-0.8348145,37.384308,38.566345,-75.99031,4.9356256,67.19497,77.49107,56.89886,-11.654045,1.3,2.1,3.8,0.3,50.0
2020-03-20,59.838924,60.964626,55.195705,55.495895,55.495895,401693200,59.257927,-3.7620316,271857200,129836000,58.863804,61.22318,-2.359375,59.117134,62.18959,63.637028,-1.4474366,61.825798,66.180504,67.19497,-1.0144627,65.45613,30.920975,-2034590000,-17.530672,-20.686453,-26.77207,-4.1346,-3.1557624,-0.97883767,4.991963,28.621468,-107.78004,4.8621354,66.180504,76.90226,55.45875,-14.474365,1.3,2.1,3.8,0.3,50.0
2020-03-23,55.21508,55.316753,51.47,54.316936,54.316936,336752800,55.495895,-1.1789589,401693200,-64940400,58.00004,58.863804,-0.86376494,57.517067,61.17767,62.18959,-1.0119213,60.460526,65.28709,66.180504,-0.89341944,64.39092,31.736551,-2371342800,-7.3655133,-15.704248,-24.753492,-4.484662,-3.4215436,-1.0631183,29.23189,23.869387,-145.95418,4.8349867,65.28709,76.84712,53.72705,-10.119213,1.3,2.1,3.8,0.3,50.0
2020-03-24,57.219555,59.962395,56.720856,59.766304,59.766304,287531200,54.316936,5.4493675,336752800,-49221600,57.710503,58.00004,-0.28953552,58.266815,60.246605,61.17767,-0.9310646,60.334305,64.78839,65.28709,-0.49869728,63.948853,39.78379,-2083811600,-2.364946,-13.478659,-14.301563,-4.278383,-3.5929122,-0.6854709,87.37894,40.534264,-37.22851,4.9947634,64.78839,76.39998,53.1768,-9.310646,1.3,2.1,3.8,0.3,50.0
2020-03-25,60.703182,62.518833,59.141727,59.437073,59.437073,303602000,59.766304,-0.32923126,287531200,16070800,57.654827,57.710503,-0.055677034,58.6569,59.522522,60.246605,-0.7240814,60.17117,64.21791,64.78839,-0.57047576,63.517723,44.412586,-2387413500,-0.4661861,-10.859394,-16.104538,-4.0939093,-3.693112,-0.40079734,72.10782,62.906216,24.456745,5.040068,64.21791,75.696625,52.7392,-7.240814,1.3,2.1,3.8,0.3,50.0
