Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10,FFR_Level,CPI_YoY,UNRATE_Level,YC_Slope_10Y3M,PMI_Level
2020-02-03,353.41,358.67,352.29,358.0,358.0,2693800,351.14,6.8599854,3692900,-999100,354.434,352.214,2.2200012,354.25095,352.226,351.4,0.826001,352.19342,346.7905,345.481,1.3095001,349.81747,67.96279,9002100,3.1997712,2.3617573,7.893072,2.4849324,2.01487,0.47006255,93.53894,75.3492,154.81831,6.2142878,346.7905,360.90366,332.67734,8.26001,1.3,2.1,3.8,0.3,50.0
2020-02-04,363.43,367.44,360.45,366.74,366.74,3053000,358.0,8.73999,2693800,359200,356.856,354.434,2.421997,358.41452,353.9,352.226,1.6739991,354.87064,348.44202,346.7905,1.6515,351.62955,72.14848,12055100,3.4148226,4.7828546,9.897816,3.2782485,2.269424,1.0088247,96.342674,74.40506,245.39246,6.5942883,348.44202,363.78677,333.09723,16.73999,1.3,2.1,3.8,0.3,50.0
2020-02-05,373.99,374.48,362.31,365.55,365.55,2463400,366.74,-1.1900024,3053000,-589600,359.634,356.856,2.7779968,360.7932,355.449,353.9,1.5489991,356.83176,350.05,348.44202,1.6079986,353.10272,67.54717,9591700,3.9498334,4.424953,9.646352,3.7737923,2.5720842,1.2017082,59.756546,83.21272,174.62387,7.1035743,350.05,365.4933,334.60672,15.48999,1.3,2.1,3.8,0.3,50.0
2020-02-06,366.16,368.25,363.01,367.46,367.46,2224500,365.55,1.9100037,2463400,-238900,361.77798,359.634,2.1440003,363.01562,357.01898,355.449,1.5699981,358.77994,351.5295,350.05,1.4794998,354.6062,68.69379,11816200,3.00499,4.463265,8.757805,4.2454343,2.9083421,1.337092,49.96422,68.68781,111.707535,7.2471466,351.5295,367.71155,335.34744,15.699982,1.3,2.1,3.8,0.3,50.0
2020-02-07,366.0,369.34,364.38,366.09,366.09,2092700,367.46,-1.3699951,2224500,-131800,364.768,361.77798,2.9899964,364.04044,358.491,357.01898,1.4720001,360.1179,352.8115,351.5295,1.2819992,355.7975,66.69444,9723500,4.2575555,4.1893167,7.5312037,4.4670587,3.2212675,1.245791,31.059938,46.926903,86.43227,7.2750025,352.8115,369.35626,336.26675,14.720001,1.3,2.1,3.8,0.3,50.0
2020-02-10,365.44,370.81,365.22,370.0,370.0,2426800,366.09,3.9100037,2092700,334100,367.168,364.768,2.4,366.027,360.801,358.491,2.3100007,361.92444,354.32098,352.8115,1.5095001,357.25836,68.160095,12150300,3.3519554,6.6589813,8.8843775,4.8617783,3.5503643,1.311414,89.6154,56.879852,86.04608,7.1921453,354.32098,371.37228,337.2697,23.100006,1.3,2.1,3.8,0.3,50.0
2020-02-11,373.03,373.7,367.25,369.28,369.28,2004700,370.0,-0.7200012,2426800,-422100,367.676,367.168,0.5080017,367.11136,362.266,360.801,1.4649994,363.26776,355.5035,354.32098,1.1824996,358.48557,67.71515,10145600,0.69259113,4.1310644,6.8425756,5.061475,3.853319,1.2081559,52.575,57.750114,84.15825,7.3442883,355.5035,373.28177,337.72522,14.649994,1.3,2.1,3.8,0.3,50.0
2020-02-12,370.64,374.43,367.15,374.29,374.29,2355600,369.28,5.01001,2004700,350900,369.424,367.676,1.7480042,369.50427,364.529,362.266,2.2630005,365.2791,356.9865,355.5035,1.4830002,360.08798,76.80567,12501200,2.3909235,6.4351945,8.606333,5.5164294,4.186586,1.3298439,98.48009,80.223495,93.27634,7.5564313,356.9865,375.86023,338.1128,22.630005,1.3,2.1,3.8,0.3,50.0
2020-02-13,372.56,377.71,372.39,374.84,374.84,1917100,374.29,0.5499878,2355600,-438500,370.9,369.424,1.476001,371.28287,366.339,364.529,1.8100007,367.02264,358.5815,356.9865,1.5949997,361.57452,73.013,14418300,2.0083833,5.073725,9.301917,5.8468943,4.519162,1.3277323,72.82201,74.625694,122.50192,7.472859,358.5815,377.84473,339.31827,18.100006,1.3,2.1,3.8,0.3,50.0
2020-02-14,376.28,379.83,375.85,379.67,379.67,1690300,374.84,4.830017,1917100,-226800,373.616,370.9,2.7160034,374.07858,369.192,366.339,2.853,369.32776,360.296,358.5815,1.7145004,363.38797,80.59869,16108600,3.709475,8.124964,9.928197,6.387819,4.893357,1.4944623,98.73838,90.01349,154.5379,7.0457153,360.296,380.68304,339.90897,28.529999,1.3,2.1,3.8,0.3,50.0
2020-02-18,380.2,382.59,378.59,378.85,378.85,2074400,379.67,-0.8200073,1690300,384100,375.38602,373.616,1.7700012,375.66907,371.277,369.192,2.0850005,371.06253,361.7515,360.296,1.4555008,364.9298,76.63217,14034200,2.3918936,5.824024,8.323331,6.676314,5.250302,1.4260124,63.333363,78.29792,139.64517,6.7057147,361.7515,383.09927,340.40375,20.850006,1.3,2.1,3.8,0.3,50.0
