Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10,FFR_Level,CPI_YoY,UNRATE_Level,YC_Slope_10Y3M,PMI_Level
2020-02-03,46.4,48.1,46.23,48.02,48.02,46983500,47.0,1.0200005,60322400,-13338900,48.368,48.615997,-0.24799958,48.312893,49.564,49.855,-0.29099998,48.853268,49.173,49.202,-0.0289999,49.10842,48.10308,106502400,-2.517251,-5.7137246,-1.1934116,-0.19091837,0.06421413,-0.2551325,70.522354,53.38459,-81.23505,1.8878572,49.173,51.945534,46.400463,-2.9099998,1.3,2.1,3.8,0.3,50.0
2020-02-04,49.21,49.75,48.61,49.45,49.45,46302100,48.02,1.4300003,46983500,-681400,48.152,48.368,-0.2159996,48.69198,49.404,49.564,-0.15999985,48.963097,49.225998,49.173,0.05300007,49.144997,48.87165,152804500,-2.1373403,-3.134179,2.1905382,-0.1401284,0.02304183,-0.16317023,91.477295,65.07,1.5836234,1.9307142,49.225998,51.975945,46.47605,-1.5999985,1.3,2.1,3.8,0.3,50.0
2020-02-05,50.29,50.42,49.31,49.84,49.84,42737100,49.45,0.3899994,46302100,-3565000,48.618,48.152,0.46600038,49.074688,49.245,49.404,-0.15900001,49.124126,49.3055,49.225998,0.079500005,49.218548,45.935867,195541600,4.904235,-3.091581,3.2953372,-0.072581366,0.0038036285,-0.07638499,86.15756,82.71907,41.33333,1.9414281,49.3055,52.028442,46.582558,-1.5900002,1.3,2.1,3.8,0.3,50.0
2020-02-06,48.8,49.39,47.63,49.32,49.32,48670600,49.84,-0.52000046,42737100,5933500,48.726,48.618,0.10800018,49.156464,49.006,49.245,-0.23899993,49.16003,49.38,49.3055,0.07449989,49.22917,43.736423,146871000,1.107013,-4.6219287,3.115195,-0.0550108,-0.008015069,-0.046995733,60.57349,79.40278,-1.8707424,1.9735707,49.38,52.013012,46.746986,-2.3899994,1.3,2.1,3.8,0.3,50.0
2020-02-07,48.91,50.67,48.64,49.73,49.73,53107600,49.32,0.40999985,48670600,4437000,49.272,48.726,0.5459999,49.34765,48.944,49.006,-0.061999895,49.26435,49.418,49.38,0.037999917,49.281124,43.85838,199978600,5.80851,-1.2313782,1.5519671,-0.012203184,-0.008855869,-0.003347315,69.078964,71.93667,69.9585,2.027142,49.418,52.048035,46.787964,-0.61999893,1.3,2.1,3.8,0.3,50.0
2020-02-10,49.47,52.3,49.35,52.26,52.26,60971700,49.73,2.5299988,53107600,7864100,50.12,49.272,0.8479996,50.31846,49.244,48.944,0.3,49.811985,49.622498,49.418,0.2045,49.587536,51.709133,260950300,8.82965,6.090134,8.490763,0.1989111,0.03282349,0.1660876,99.14345,76.265305,137.15326,2.1585708,49.622498,52.47092,46.77408,3.0,1.3,2.1,3.8,0.3,50.0
2020-02-11,53.22,54.48,52.91,53.8,53.8,74719100,52.26,1.5400009,60971700,13747400,50.989998,50.12,0.8699997,51.478992,49.571,49.244,0.32700005,50.54031,49.875,49.622498,0.25249997,50.01756,60.602337,335669400,8.7967615,6.471404,10.358973,0.47023305,0.12051743,0.34971562,88.35616,85.52619,198.13583,2.2578564,49.875,53.24528,46.50472,3.2700005,1.3,2.1,3.8,0.3,50.0
2020-02-12,54.53,54.85,53.53,53.89,53.89,45994900,53.8,0.09000015,74719100,-28724200,51.8,50.989998,0.8099998,52.28267,50.209,49.571,0.63800013,51.15156,50.159,49.875,0.284,50.410183,65.160446,381664300,8.126001,13.428755,11.781789,0.68274564,0.233181,0.44956464,82.54547,90.01503,148.84229,2.2799993,50.159,53.877777,46.440224,6.380001,1.3,2.1,3.8,0.3,50.0
2020-02-13,53.43,55.03,53.34,54.53,54.53,51640000,53.89,0.6399994,45994900,5645100,52.842,51.8,1.0419998,53.031784,50.784,50.209,0.575,51.76765,50.458,50.159,0.29899997,50.825333,63.6612,433304300,10.563664,11.787619,12.317198,0.8867504,0.36409745,0.5226529,76.415085,82.4389,111.79782,2.162142,50.458,54.572617,46.34338,5.75,1.3,2.1,3.8,0.3,50.0
2020-02-14,55.19,55.4,54.56,55.31,55.31,52365400,54.53,0.7800026,51640000,725400,53.958,52.842,1.1160004,53.791195,51.614998,50.784,0.83100015,52.413284,50.735,50.458,0.27700004,51.274765,81.45162,485669700,11.220595,17.680855,11.131206,1.0923688,0.5099323,0.58243656,95.631065,84.86387,105.59801,2.0492854,50.735,55.367878,46.102123,8.310001,1.3,2.1,3.8,0.3,50.0
2020-02-18,54.94,58.13,54.84,56.89,56.89,70133200,55.31,1.579998,52365400,17767800,54.884,53.958,0.92600024,54.824135,52.502,51.614998,0.8869999,53.228855,51.033,50.735,0.29799995,51.83471,81.904015,555802900,8.85955,18.471468,11.702334,1.3558633,0.6792862,0.6765771,74.1127,82.05295,116.22562,2.170714,51.033,56.423473,45.642525,8.869999,1.3,2.1,3.8,0.3,50.0
