Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10,FFR_Level,CPI_YoY,UNRATE_Level,YC_Slope_10Y3M,PMI_Level
2020-02-03,181.35233,183.93515,179.957,183.48984,183.48984,4755200,180.4122,3.0776367,4193300,561900,181.69275,180.76056,0.932193,181.89168,181.37608,181.0604,0.31567994,181.2533,179.67844,178.72595,0.9524803,180.47124,58.4693,37420100,2.6063828,1.7505386,11.584517,0.85926896,0.8057975,0.053471453,88.88908,72.099785,96.489624,3.5427353,179.67844,185.83629,173.52057,3.1567993,1.3,2.1,3.8,0.3,50.0
2020-02-04,186.04298,187.7154,184.70703,186.37944,186.37944,3983200,183.48984,2.8896027,4755200,-772000,182.77931,181.69275,1.0865662,183.3878,181.67989,181.37608,0.30380097,182.19673,180.41519,179.67844,0.73675,181.1039,60.45133,41403300,3.0024498,1.657023,8.584607,1.1384751,0.8728276,0.2656475,84.83143,68.65365,235.72458,3.71662,180.41519,186.02756,174.80281,3.0380096,1.3,2.1,3.8,0.3,50.0
2020-02-05,188.41798,188.56644,180.95648,183.55911,183.55911,6162700,186.37944,-2.8203278,3983200,2179500,183.51556,182.77931,0.73625183,183.44492,181.95103,181.67989,0.27114868,182.44691,180.88475,180.41519,0.4695595,181.36372,55.540455,35240600,2.0465326,1.4993212,5.3920317,1.1499085,0.9285729,0.2213357,41.839066,71.85319,106.342964,4.085596,180.88475,185.8279,175.94159,2.7114868,1.3,2.1,3.8,0.3,50.0
2020-02-06,184.88516,185.60756,182.32213,184.7862,184.7862,4102700,183.55911,1.2270813,6162700,-2060000,183.72536,183.51556,0.20979309,183.89203,182.22316,181.95103,0.27213746,182.8757,181.34985,180.88475,0.4651062,181.72212,52.64294,39343300,0.5709052,1.4947283,5.3008366,1.2295741,0.98905873,0.24051534,50.325005,58.998497,79.4848,4.1682973,181.34985,185.88724,176.81245,2.7213745,1.3,2.1,3.8,0.3,50.0
2020-02-07,184.90495,186.6862,183.71744,183.78671,183.78671,3713100,184.7862,-0.9994812,4102700,-389600,184.40025,183.72536,0.6749023,183.85692,182.58041,182.22316,0.3572403,183.04245,181.65266,181.34985,0.30281526,181.9363,55.687492,35630200,1.8704454,1.9823081,3.4075794,1.2075976,1.0329323,0.17466539,37.191135,43.1184,77.453766,4.240396,181.65266,185.97632,177.32901,3.572403,1.3,2.1,3.8,0.3,50.0
2020-02-10,184.23203,187.29976,183.62837,187.1513,187.1513,3873500,183.78671,3.3645935,3713100,160400,185.13255,184.40025,0.7322937,184.95508,183.41264,182.58041,0.8322433,183.7936,182.09402,181.65266,0.44135588,182.47272,59.087696,39503700,1.9954612,4.6538534,4.9500394,1.4125881,1.1090937,0.30349445,97.01771,61.51128,98.58148,4.1845555,182.09402,186.77449,177.41356,8.322433,1.3,2.1,3.8,0.3,50.0
2020-02-11,189.48676,190.59511,186.68622,187.14143,187.14143,4299200,187.1513,-0.0098724365,3873500,425700,185.28496,185.13255,0.15239868,185.68388,184.03214,183.41264,0.6194824,184.405,182.35428,182.09402,0.2602623,182.94931,63.247547,35204500,0.40883985,3.4235647,2.8610284,1.5550984,1.1985108,0.35658762,50.426243,61.54503,141.86243,4.1986933,182.35428,187.54848,177.16008,6.194824,1.3,2.1,3.8,0.3,50.0
2020-02-12,187.7352,188.53677,184.8258,187.48781,187.48781,4535400,187.14143,0.3463745,4299200,236200,186.0707,185.28496,0.7857391,186.2852,184.79312,184.03214,0.7609955,184.96754,182.71747,182.35428,0.36318055,183.40947,67.24484,39739900,2.140289,4.2306237,4.030319,1.67286,1.2935644,0.37929556,55.398075,67.614006,86.428764,4.251707,182.71747,188.28677,177.14816,7.609955,1.3,2.1,3.8,0.3,50.0
2020-02-13,186.53778,189.06123,186.4586,186.67632,186.67632,3132100,187.48781,-0.8114929,4535400,-1403300,186.44872,186.0707,0.37802428,186.41557,185.08704,184.79312,0.2939087,185.27916,183.09251,182.71747,0.37505493,183.73866,62.037388,36607800,1.0228695,1.5996143,4.18646,1.6867896,1.3723314,0.3144582,32.075073,45.966465,83.16989,4.084184,183.09251,188.66771,177.51733,2.939087,1.3,2.1,3.8,0.3,50.0
2020-02-14,187.37892,188.26955,186.14194,187.97267,187.97267,3599400,186.67632,1.2963562,3132100,467300,187.2859,186.44872,0.83719176,186.9346,185.84308,185.08704,0.75604707,185.77008,183.45174,183.09251,0.3592209,184.16298,66.8451,40207200,2.2776177,4.190665,3.9739406,1.7722408,1.4524124,0.31982833,74.298676,53.92394,74.43902,3.8961604,183.45174,189.31992,177.58357,7.5604706,1.3,2.1,3.8,0.3,50.0
2020-02-18,188.96228,189.50655,186.9534,189.10081,189.10081,4957000,187.97267,1.1281433,3599400,1357600,187.67581,187.2859,0.38990173,187.65668,186.40417,185.84308,0.56109774,186.37688,183.89014,183.45174,0.43838882,184.65538,62.59295,45164200,1.0416752,3.0579226,4.8619914,1.9009565,1.5422101,0.35874638,87.941086,64.771614,109.52472,3.8304238,183.89014,190.07858,177.70168,5.610977,1.3,2.1,3.8,0.3,50.0
2020-02-19,190.00137,191.90138,189.80345,190.8623,190.8623,3903200,189.10081,1.7614899,4957000,-1053800,188.41998,187.67581,0.7441742,188.72522,186.85246,186.40417,0.44828644,187.19374,184.26617,183.89014,0.3760437,185.27156,76.479485,49067400,1.9882668,2.4052355,4.1021137,2.1092012,1.6556983,0.4535029,81.95878,81.39951,163.74098,3.8551643,184.26617,191.18513,177.34721,4.4828644,1.3,2.1,3.8,0.3,50.0
2020-02-20,191.98053,193.68263,187.79457,191.3472,191.3472,5451200,190.8623,0.4848938,3903200,1548000,189.19186,188.41998,0.77187806,189.59921,187.63127,186.85246,0.7788086,187.94992,184.79115,184.26617,0.52497864,185.87228,72.92151,54518600,2.0584753,4.2428217,5.8057566,2.2835093,1.7813401,0.5021692,65.294174,78.39801,136.28459,3.8940403,184.79115,192.19435,177.38795,7.788086,1.3,2.1,3.8,0.3,50.0
2020-02-21,189.84302,190.04092,184.77632,187.52737,187.52737,5242100,191.3472,-3.8198242,5451200,-209100,189.36208,189.19186,0.17021179,188.9086,187.9054,187.63127,0.27411804,187.873,185.06429,184.79115,0.27312773,186.03534,53.176365,49276500,0.45590088,1.4834336,3.0003352,2.1090128,1.846908,0.26210493,30.888859,59.380604,-18.820835,3.9929993,185.06429,192.447,177.68155,2.7411804,1.3,2.1,3.8,0.3,50.0
2020-02-24,176.92886,185.20184,176.92886,184.00444,184.00444,8463300,187.52737,-3.522934,5242100,3221200,188.56842,189.36208,-0.7936462,187.27388,187.92717,187.9054,0.021772766,187.169,185.25378,185.06429,0.18950653,185.83592,51.186115,40813200,-2.1110682,0.11846758,2.1031241,1.6845692,1.814427,-0.12985778,42.232758,46.138596,-226.52446,4.465883,185.25378,192.2992,178.20837,0.21772766,1.3,2.1,3.8,0.3,50.0
2020-02-25,186.50812,188.0024,177.56221,179.38307,179.38307,11361100,184.00444,-4.6213684,8463300,2897800,186.62488,188.56842,-1.9435486,184.64362,187.15034,187.92717,-0.7768234,185.75235,185.2815,185.25378,0.027709961,185.20415,37.812595,29452100,-5.1389217,-4.1507773,0.30990478,0.9856363,1.648615,-0.6629787,18.717201,30.61294,-169.83397,4.909785,185.2815,192.22412,178.33887,-7.7682343,1.3,2.1,3.8,0.3,50.0
2020-02-26,174.70227,180.76846,172.43611,177.00801,177.00801,13923100,179.38307,-2.375061,11361100,2562000,183.85402,186.62488,-2.7708588,182.0984,186.137,187.15034,-1.0133423,184.16151,185.08456,185.2815,-0.19692993,184.40384,35.603207,15529000,-7.25879,-5.4148474,-2.1766634,0.24808215,1.3684357,-1.1203536,29.370537,30.106833,-175.73471,4.961385,185.08456,192.73253,177.4366,-10.133423,1.3,2.1,3.8,0.3,50.0
2020-02-27,170.41736,176.47365,168.27985,170.35797,170.35797,9927300,177.00801,-6.6500397,13923100,-3995800,179.65617,183.85402,-4.1978455,178.18494,184.42401,186.137,-1.7129837,181.65056,184.60857,185.08456,-0.4759941,183.03563,18.701675,5601700,-10.969185,-9.136507,-5.2924147,-0.8362381,0.92740935,-1.7636474,10.536822,19.54152,-165.21599,5.3501515,184.60857,194.48215,174.735,-17.129837,1.3,2.1,3.8,0.3,50.0
2020-02-28,163.2725,169.98192,161.42197,168.62617,168.62617,12640800,170.35797,-1.7317963,9927300,2713500,175.87593,179.65617,-3.7802398,174.99867,182.619,184.42401,-1.805014,179.28154,183.85303,184.60857,-0.75555265,181.63504,17.57372,-7039100,-10.079168,-9.669218,-8.224275,-1.8070676,0.38042307,-2.1874907,37.23783,25.715063,-157.86908,5.7763834,183.85303,196.04729,171.65875,-18.05014,1.3,2.1,3.8,0.3,50.0
2020-03-02,170.40747,174.94969,166.83505,174.92,174.92,7761000,168.62617,6.2938232,12640800,-4879800,174.05905,175.87593,-1.8168885,174.97246,181.31374,182.619,-1.3052673,178.48828,183.57841,183.85303,-0.27461013,180.98363,31.784317,721900,-4.9370775,-6.9439206,-3.0442524,-2.0654113,-0.108808815,-1.9566025,89.67791,45.81752,-79.67791,6.093758,183.57841,196.3334,170.82341,-13.052673,1.3,2.1,3.8,0.3,50.0
2020-03-03,176.55283,176.56271,165.35065,167.60692,167.60692,8323500,174.92,-7.31308,7761000,562500,171.70381,174.05905,-2.3552308,172.51727,179.16435,181.31374,-2.1493897,176.50932,182.78427,183.57841,-0.79414594,179.68825,26.743963,-7601600,-6.5648074,-11.366369,-8.656021,-2.8044043,-0.6479852,-2.156419,40.84974,55.921825,-80.7356,6.615413,182.78427,197.40396,168.16457,-21.493896,1.3,2.1,3.8,0.3,50.0
2020-03-04,170.45692,173.97986,167.8642,173.86111,173.86111,5846300,167.60692,6.254196,8323500,-2477200,171.07443,171.70381,-0.6293793,172.96523,177.46423,179.16435,-1.700119,176.02773,182.15834,182.78427,-0.6259163,179.12488,34.64688,-1755300,-1.7778271,-8.907568,-6.716581,-2.870043,-1.0924346,-1.7776085,75.90452,68.81072,-51.72829,6.8055544,182.15834,197.19589,167.1208,-17.00119,1.3,2.1,3.8,0.3,50.0
2020-03-05,170.77362,171.94133,166.35014,167.83453,167.83453,5797500,173.86111,-6.026581,5846300,-48800,170.56975,171.07443,-0.5046875,171.25499,175.11296,177.46423,-2.3512664,174.53778,181.37212,182.15834,-0.78622895,178.03487,29.091293,-7552800,-1.4812559,-12.287959,-8.566493,-3.3530686,-1.5445921,-1.8084764,22.153646,46.302635,-72.85704,7.15615,181.37212,197.691,165.05324,-23.512665,1.3,2.1,3.8,0.3,50.0
2020-03-06,163.94543,165.82567,156.88965,162.372,162.372,9757700,167.83453,-5.4625397,5797500,3960200,169.31891,170.56975,-1.2508361,168.29399,172.59743,175.11296,-2.515538,172.3255,180.2514,181.37212,-1.12071,176.52469,23.888996,-17310500,-3.7089028,-13.414245,-12.129802,-4.114991,-2.0587,-2.0562913,32.07884,43.379,-150.85748,7.785955,180.2514,198.54251,161.9603,-25.15538,1.3,2.1,3.8,0.3,50.0
2020-03-09,150.12085,156.0683,149.07188,149.63596,149.63596,9657100,162.372,-12.736038,9757700,-100600,164.2621,169.31891,-5.0568085,162.07465,169.16057,172.59743,-3.4368484,168.19963,178.54387,180.2514,-1.7075379,173.9352,18.782413,-26967600,-14.454632,-18.678074,-18.581734,-5.651024,-2.7771962,-2.873828,2.466495,18.89966,-207.36719,8.553596,178.54387,201.28116,155.80658,-34.368484,1.3,2.1,3.8,0.3,50.0
