Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10,FFR_Level,CPI_YoY,UNRATE_Level,YC_Slope_10Y3M,PMI_Level
2020-02-03,338.41,344.75,337.25,343.2,343.2,2096000,338.23,4.970001,2432800,-336800,330.006,322.892,7.1140013,332.50732,320.434,317.366,3.0680022,324.30264,310.836,308.231,2.6050003,317.73938,83.01466,11248600,11.562593,9.816979,17.89763,6.3376107,3.5968173,2.7407935,89.73518,88.69955,126.85128,8.290719,310.836,340.24146,281.43057,30.680023,1.3,2.1,3.8,0.3,50.0
2020-02-04,346.0,354.64,344.52,352.03,352.03,2039300,343.2,8.829987,2096000,-56700,337.602,330.006,7.596002,339.01575,324.339,320.434,3.9049988,329.40573,313.794,310.836,2.9580002,321.4113,84.02724,13287900,12.093619,12.476831,20.20009,7.754983,4.4346323,3.3203506,88.03295,86.842606,122.43168,8.777147,313.794,347.2176,280.3704,39.049988,1.3,2.1,3.8,0.3,50.0
2020-02-05,353.17,355.99,334.81,338.5,338.5,2851000,352.03,-13.529999,2039300,811700,342.716,337.602,5.1140013,338.8438,326.904,324.339,2.5649993,331.07574,316.0735,313.794,2.2794998,323.21973,67.853226,10436900,8.171159,8.198815,15.564507,7.843085,5.120371,2.7227142,17.422113,65.063416,70.86973,9.845003,316.0735,349.71783,282.42914,25.649994,1.3,2.1,3.8,0.3,50.0
2020-02-06,340.01,342.82,334.08,341.7,341.7,1474400,338.5,3.2000122,2851000,-1376600,342.732,342.716,0.016003419,339.79593,329.928,326.904,3.024002,333.02322,318.376,316.0735,2.302501,325.15497,69.019875,11911300,0.023422835,9.709119,15.575856,8.038929,5.706852,2.332077,34.77875,46.744606,45.910965,10.067147,318.376,352.43567,284.3163,30.24002,1.3,2.1,3.8,0.3,50.0
2020-02-07,341.71,345.77,339.69,341.06,341.06,1677700,341.7,-0.64001465,1474400,203300,343.298,342.732,0.5659973,340.21732,333.095,329.928,3.1669984,334.4942,320.4635,318.376,2.0875,326.8049,68.55677,10233600,0.83670473,10.236265,13.948749,8.052217,6.177704,1.8745126,31.857645,28.019503,49.70112,10.270717,320.4635,354.7201,286.2069,31.669983,1.3,2.1,3.8,0.3,50.0
2020-02-10,340.72,345.0,338.9,342.77,342.77,1781900,341.06,1.7099915,1677700,104200,343.212,343.298,-0.08600464,341.06824,336.609,333.095,3.5139985,336.00708,322.658,320.4635,2.1944993,328.44708,70.509636,12015500,-0.12529813,11.422808,14.684818,8.0882635,6.560974,1.5272895,74.33704,46.991146,44.597347,10.385716,322.658,356.71555,288.60043,35.139984,1.3,2.1,3.8,0.3,50.0
2020-02-11,345.96,346.19,341.04,343.57,343.57,1194800,342.77,0.8000183,1781900,-587100,341.52,343.212,-1.6919982,341.90216,339.561,336.609,2.952002,337.38828,324.644,322.658,1.9860001,329.99088,72.76845,13210300,-2.4032018,9.399784,13.07224,8.078544,6.8652234,1.21332,64.06046,56.751717,51.662216,10.4307165,324.644,358.71603,290.57196,29.52002,1.3,2.1,3.8,0.3,50.0
2020-02-12,345.02,350.43,339.5,349.8,349.8,1306500,343.57,6.2299805,1194800,111700,343.78,341.52,2.2599976,344.53482,343.248,339.561,3.6869996,339.65317,327.059,324.644,2.4149995,331.9993,76.51201,14516800,3.3382535,11.7821865,16.019896,8.422278,7.177238,1.2450404,94.53595,77.644485,99.24881,10.834288,327.059,361.07086,293.04715,36.869995,1.3,2.1,3.8,0.3,50.0
2020-02-13,347.5,357.0,347.5,351.81,351.81,2489100,349.8,2.0100098,1306500,1182600,345.802,343.78,2.021997,346.9599,344.267,343.248,1.0190003,341.8701,329.406,327.059,2.3470001,333.9956,75.133125,17005900,2.9587314,2.9828472,15.396728,8.737421,7.489758,1.2476627,70.34284,76.31309,156.91232,10.722859,329.406,363.44907,295.3629,10.190002,1.3,2.1,3.8,0.3,50.0
2020-02-14,353.64,356.32,350.88,356.16,356.16,1106100,351.81,4.350006,2489100,-1383000,348.822,345.802,3.0200012,350.0266,346.06,344.267,1.7929993,344.47458,331.713,329.406,2.3070006,336.21683,77.58775,18112000,4.4273753,5.301124,14.882916,9.197972,7.8318243,1.3661475,95.20002,86.69294,139.55109,10.307859,331.713,366.4706,296.95538,17.929993,1.3,2.1,3.8,0.3,50.0
2020-02-18,356.0,358.76,354.04,357.49,357.49,1288900,356.16,1.3299866,1106100,182800,351.766,348.822,2.9440002,352.5144,347.489,346.06,1.4289978,346.84573,333.9615,331.713,2.2485,338.33817,65.561874,19400900,4.2944255,4.1637464,14.38948,9.548379,8.175476,1.3729033,88.72097,84.754616,127.17971,10.103575,333.9615,369.30463,298.61838,14.289978,1.3,2.1,3.8,0.3,50.0
2020-02-19,358.75,362.95,357.4,357.72,357.72,1306800,357.49,0.23001099,1288900,17900,354.596,351.766,2.8299987,354.2496,348.05798,347.489,0.56900024,348.8261,336.1985,333.9615,2.2369995,340.26227,70.37422,20707700,4.1185184,1.6163402,14.29484,9.7286415,8.486355,1.2422866,56.669365,80.196785,123.34091,10.148575,336.1985,371.61353,300.78348,5.6900024,1.3,2.1,3.8,0.3,50.0
2020-02-20,357.72,361.98,345.41,352.94,352.94,1948100,357.72,-4.779999,1306800,641300,355.224,354.596,0.62800294,353.81308,349.502,348.05798,1.4440002,349.57507,338.203,336.1985,2.0045,341.51578,60.22249,18759600,0.89766,4.2658796,12.814446,9.403186,8.669838,0.733348,42.930416,62.773586,47.523865,9.120717,338.203,372.57657,303.82944,14.440002,1.3,2.1,3.8,0.3,50.0
2020-02-21,350.48,351.75,338.78,344.48,344.48,2348600,352.94,-8.459991,1948100,400500,353.758,355.224,-1.4659973,350.70206,349.78,349.502,0.27799988,348.6477,339.854,338.203,1.651001,341.8078,42.013977,16411000,-2.0835073,0.8135788,10.601689,8.410287,8.617901,-0.20761444,23.58299,41.060925,-53.8387,9.504288,339.854,371.91324,307.79477,2.7799988,1.3,2.1,3.8,0.3,50.0
