Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10
2020-02-03,162.12297,165.9946,162.09442,165.88045,165.88045,30107000,161.93274,3.9477081,36142700.0,-6035700.0,161.88326,159.5812,2.3020477,162.38605,159.5384,158.84589,0.6925171,160.39622,156.91579,156.1662,0.7495926,158.74557,70.01429,140750300.0,7.4562564,4.356679,9.935709,1.6203291,0.9993032,0.62102586,97.561066,80.10036,134.85733,2.8578548,156.91579,165.14334,148.68823,6.925171
2020-02-04,168.5059,171.83531,167.71635,171.34065,171.34065,36433300,165.88045,5.460205,30107000.0,6326300.0,164.67235,161.88326,2.78909,165.37132,160.83401,159.5384,1.2956116,162.41049,157.91888,156.91579,1.0031006,160.09427,72.69766,177183600.0,8.860149,8.180164,13.261629,2.2401335,1.2493141,0.9908194,95.29832,82.388626,168.4705,3.1554615,157.91888,167.94742,147.89035,12.956116
2020-02-05,175.06012,175.22183,169.71405,171.13142,171.13142,39186300,171.34065,-0.20922852,36433300.0,2753000.0,166.92874,164.67235,2.2563996,167.29152,162.1848,160.83401,1.3507874,164.01196,158.98048,157.91888,1.0616058,161.2623,71.31922,137997300.0,7.0578904,8.569705,14.164252,2.6800492,1.5371603,1.142889,68.84065,87.233345,141.08507,3.4258895,158.98048,169.89096,148.07002,13.507874
2020-02-06,172.14925,174.86034,171.2836,174.6796,174.6796,27751400,171.13142,3.548172,39186300.0,-11434900.0,168.99297,166.92874,2.0642304,169.75436,163.79338,162.1848,1.6085755,165.96738,160.10013,158.98048,1.1196327,162.66734,75.83715,165748700.0,6.27966,10.1427355,14.704251,3.2340147,1.8781414,1.3558735,92.77537,85.638115,123.64675,3.4843216,160.10013,172.59871,147.60155,16.085754
2020-02-07,173.93764,176.58214,173.58566,174.92694,174.92694,33529100,174.6796,0.24734497,27751400.0,5777700.0,171.59181,168.99297,2.5988402,171.47862,165.5865,163.79338,1.7931274,167.60725,161.137,160.10013,1.0368744,163.9391,77.89023,199277800.0,8.024444,11.421509,13.449355,3.6439638,2.2326453,1.4113187,75.90017,79.172066,108.75786,3.559743,161.137,174.9433,147.3307,17.931274
2020-02-10,174.63205,179.63567,174.31813,179.50249,179.50249,35844300,174.92694,4.5755463,33529100.0,2315200.0,174.31622,171.59181,2.724408,174.15332,168.09973,165.5865,2.513228,169.78181,162.43832,161.137,1.3013229,165.53998,80.192314,235122100.0,8.211963,16.280523,16.957996,4.241663,2.6356668,1.6059963,98.40548,89.02701,110.70101,3.8199792,162.43832,177.99905,146.8776,25.132278
2020-02-11,181.3574,181.40498,174.55592,175.4501,175.4501,53159900,179.50249,-4.0523834,35844300.0,17315600.0,175.1381,174.31622,0.82189023,174.58559,169.90523,168.09973,1.8054901,170.817,163.44475,162.43832,1.0064309,166.55164,74.884636,181962200.0,2.39841,11.471062,12.959325,4.3705487,2.9834843,1.3870647,23.84405,66.0499,89.04416,4.1862125,163.44475,179.65746,147.23204,18.054901
2020-02-12,176.53453,176.79137,172.98634,175.70694,175.70694,47062900,175.4501,0.25683594,53159900.0,-6097000.0,176.0532,175.1381,0.91510314,174.95938,171.49098,169.90523,1.5857513,171.70932,164.51872,163.44475,1.0739708,167.47989,80.734505,229025100.0,2.6736853,9.920281,13.927096,4.4384694,3.2750452,1.1634243,32.316395,51.521973,56.006725,4.3540416,164.51872,181.00401,148.03343,15.857513
2020-02-13,174.15637,177.15283,173.9566,174.75568,174.75568,35295800,175.70694,-0.9512634,47062900.0,-11767100.0,176.06844,176.0532,0.015216065,174.89148,172.5307,171.49098,1.0397232,172.26485,165.4952,164.51872,0.97646636,168.21306,76.59579,193729300.0,0.043554213,6.325949,12.581194,4.3712735,3.4946306,0.87664294,21.016897,25.72578,49.12003,4.373067,165.4952,181.9765,149.01389,10.397232
2020-02-14,174.3181,176.37282,173.74734,176.31575,176.31575,23149500,174.75568,1.5600739,35295800.0,-12146300.0,176.34619,176.06844,0.27776185,175.36624,173.969,172.5307,1.4383011,173.00317,166.40744,165.4952,0.9122566,169.02507,75.93654,216878800.0,0.7939367,8.88209,11.542394,4.38139,3.6722023,0.7091876,79.909096,44.41413,43.48954,4.2317386,166.40744,183.17569,149.6392,14.383011
2020-02-18,176.56305,178.55118,176.4584,178.10408,178.10408,27792200,176.31575,1.7883301,23149500.0,4642700.0,176.06651,176.34619,-0.27968138,176.27885,175.19136,173.969,1.2223632,173.93245,167.36488,166.40744,0.9574402,169.93042,73.680756,244671000.0,-0.779046,7.3689413,12.046661,4.4693217,3.8317842,0.63753724,90.693,63.873,102.56307,4.1549573,167.36488,184.5237,150.20607,12.223633
2020-02-19,179.38226,179.49672,177.86563,178.63826,178.63826,29997500,178.10408,0.5341797,27792200.0,2205300.0,176.70415,176.06651,0.63763124,177.06532,175.92113,175.19136,0.72976077,174.78944,168.37758,167.36488,1.0126861,170.79488,80.78647,274668500.0,1.8171299,4.259122,12.78769,4.5256457,3.9706666,0.5549791,85.06857,85.22356,117.44538,4.0479193,168.37758,185.69473,151.06041,7.2976074
2020-02-20,178.32347,178.60963,172.74342,175.91022,175.91022,36862400,178.63826,-2.7280426,29997500.0,6864900.0,176.7448,176.70415,0.040655516,176.68028,176.399,175.92113,0.47787935,174.9935,169.2919,168.37758,0.91433334,171.30066,69.35382,237806100.0,0.11569127,2.7924697,11.601481,4.3153734,4.039652,0.27572167,46.892548,74.21804,-20.524698,4.060613,169.2919,186.1431,152.44072,4.7787933
2020-02-21,174.7179,175.03267,169.07106,170.34923,170.34923,48572600,175.91022,-5.5609894,36862400.0,11710200.0,175.86351,176.7448,-0.88128966,174.56993,175.96597,176.399,-0.4330368,174.14816,169.87967,169.2919,0.5877693,171.20692,48.094322,189233500.0,-2.5214908,-2.479035,7.412259,3.6870992,3.9691055,-0.28200617,12.25979,48.073635,-198.14783,4.3316946,169.87967,185.96223,153.79712,-4.330368
2020-02-24,160.02855,166.4957,155.69803,163.00458,163.00458,68311100,170.34923,-7.3446503,48572600.0,19738500.0,173.20128,175.86351,-2.6622345,170.71481,174.77373,175.96597,-1.1922363,172.12025,170.18011,169.87967,0.30044556,170.4015,37.741505,120922400.0,-7.549622,-6.815624,3.8274376,2.6035578,3.695885,-1.0923272,31.89016,30.347498,-268.06555,5.088076,170.18011,185.45338,154.90685,-11.922363
2020-02-25,166.16183,166.7723,159.91406,160.3147,160.3147,68073300,163.00458,-2.6898804,68311100.0,-237800.0,169.6434,173.20128,-3.5578766,167.24811,172.85495,174.77373,-1.918779,169.97223,170.47734,170.18011,0.29722443,169.41396,27.756098,52849100.0,-9.988195,-10.689428,3.8508003,1.5237322,3.2613134,-1.7375813,23.877697,22.675882,-151.24178,5.152602,170.47734,184.64664,156.30806,-19.18779
2020-02-26,161.87901,165.2652,160.44823,162.31778,162.31778,56206100,160.3147,2.0030823,68073300.0,-11867200.0,166.3793,169.6434,-3.264096,165.60466,171.54172,172.85495,-1.3132324,168.57968,170.72348,170.47734,0.24612884,168.72104,31.481766,109055200.0,-9.13605,-7.484934,3.1275268,0.8126759,2.7714589,-1.9587829,59.77596,38.514606,-105.48747,5.1127963,170.72348,184.08388,157.36307,-13.132324
2020-02-27,155.78386,159.32266,150.69026,150.88103,150.88103,93174900,162.31778,-11.436752,56206100.0,36968800.0,161.37346,166.3793,-5.005838,160.69678,169.05913,171.54172,-2.4825912,165.36017,170.27505,170.72348,-0.44841996,166.98325,15.015969,15880300.0,-14.228389,-14.129159,-5.6105294,-0.62041956,2.0929422,-2.7133617,1.1862204,28.279959,-140.73708,5.6769824,170.27505,185.62592,154.9242,-24.825912
2020-02-28,145.37735,156.15593,144.98627,154.53436,154.53436,97012700,150.88103,3.6533356,93174900.0,3837800.0,158.2105,161.37346,-3.162973,158.64264,167.037,169.05913,-2.0221314,163.39105,169.78384,170.27505,-0.49120408,165.77322,24.182825,112893000.0,-9.283791,-11.571191,-5.9772296,-1.4567398,1.3828878,-2.8396275,47.08385,36.015343,-117.04742,6.2607822,169.78384,186.49986,153.06783,-20.221313
2020-03-02,157.68205,164.9409,154.82048,164.8169,164.8169,71030800,154.53436,10.282532,97012700.0,-25981900.0,158.57295,158.2105,0.36246338,160.70073,165.88712,167.037,-1.1498855,163.65038,169.92805,169.78384,0.14420776,165.68045,39.224842,183923800.0,1.1118196,-6.5217404,1.7810823,-1.3091221,0.84441423,-2.1535363,99.37856,49.21621,-34.55806,6.624283,169.92805,186.40697,153.44914,-11.498856
